obra_id,rubro_id,rubro_nombre,monto_presupuestado,monto_total_real,desviacion,pct_desviacion,clasificacion
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,TECHO,TECHO,0.0,146402803.0,146402803.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,PISO,PISO,0.0,98415820.0,98415820.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,PIN,PINTURA,0.0,36376391.0,36376391.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,ALB,ALBAÑILERIA,0.0,33932000.0,33932000.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,ELEC,ELECTRICIDAD,0.0,33130900.0,33130900.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,TECHO VARIOS,,0.0,20042509.0,20042509.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,DIVISORIA,,0.0,18498500.0,18498500.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,PUERTA,,0.0,10500000.0,10500000.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,PLOM,PLOMERIA,0.0,9858150.0,9858150.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,LOZA SANITARIA,LOZA,0.0,8469800.0,8469800.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,HERR,HERRERIA,0.0,6521100.0,6521100.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,GRANITO,,0.0,5880000.0,5880000.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,ADM,,0.0,4840000.0,4840000.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,GG,GASTOS GENERALES,0.0,4731027.0,4731027.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,GRIFERIA,,0.0,2880000.0,2880000.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,EXC,,0.0,1480000.0,1480000.0,,SIN PRESUPUESTO
ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,SERENO,,0.0,700000.0,700000.0,,SIN PRESUPUESTO
ALGESA - DIVISORIA DE VIDRIO - OFICINAS - 31/01/2025,PUERTA,,3900000.0,19580000.0,15680000.0,402.05,DESVIO SIGNIFICATIVO (>10%)
ALGESA - FOSA - MONTACARGA - 07/04/2025,ALB,ALBAÑILERIA,0.0,21967300.0,21967300.0,,SIN PRESUPUESTO
ALGESA - FOSA - MONTACARGA - 07/04/2025,TECHO,TECHO,0.0,15475229.0,15475229.0,,SIN PRESUPUESTO
ALGESA - FOSA - MONTACARGA - 07/04/2025,PIN,PINTURA,5700000.0,2803600.0,-2896400.0,-50.81,DENTRO DE PRESUPUESTO
ALGESA - FOSA - MONTACARGA - 07/04/2025,ELEC,ELECTRICIDAD,0.0,2548500.0,2548500.0,,SIN PRESUPUESTO
ALGESA - FOSA - MONTACARGA - 07/04/2025,GG,GASTOS GENERALES,0.0,1687450.0,1687450.0,,SIN PRESUPUESTO
ALGESA - FOSA - MONTACARGA - 07/04/2025,PISO,PISO,0.0,1233480.0,1233480.0,,SIN PRESUPUESTO
ALGESA - FOSA - MONTACARGA - 07/04/2025,HERR,,0.0,950000.0,950000.0,,SIN PRESUPUESTO
ALGESA - FOSA - MONTACARGA - 07/04/2025,PUERTA,,0.0,160000.0,160000.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,ALB,ALBAÑILERIA,0.0,2155734910.0,2155734910.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,TECHO,TECHO,5750000.0,786222772.0,780472772.0,13573.44,DESVIO SIGNIFICATIVO (>10%)
ALGESA - FRANCO - 18/04/2024,ELEC,ELECTRICIDAD,4150000.0,418401543.0,414251543.0,9981.96,DESVIO SIGNIFICATIVO (>10%)
ALGESA - FRANCO - 18/04/2024,PISO,PISO,0.0,319317660.0,319317660.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,ADM,,0.0,245821250.0,245821250.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,GG,GASTOS GENERALES,5950000.0,202658150.0,196708150.0,3306.02,DESVIO SIGNIFICATIVO (>10%)
ALGESA - FRANCO - 18/04/2024,VENTANA,,0.0,139172600.0,139172600.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,PIN,PINTURA,0.0,132166712.0,132166712.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,CIELO RASO,,0.0,88987500.0,88987500.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,PLOM,PLOMERIA,0.0,74649516.0,74649516.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,LOZA SANITARIA,LOZA,0.0,53877000.0,53877000.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,EXC,,0.0,52698000.0,52698000.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,TECHO VARIOS,,0.0,47702471.0,47702471.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,PUERTA,,3800000.0,41320000.0,37520000.0,987.37,DESVIO SIGNIFICATIVO (>10%)
ALGESA - FRANCO - 18/04/2024,GRANITO,,0.0,19380000.0,19380000.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,MAQUINARIA,,0.0,17608000.0,17608000.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,PERSONAL OSCAR,,0.0,9322000.0,9322000.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,MARM,,0.0,3660000.0,3660000.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,HERR,HERRERIA,0.0,2999000.0,2999000.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,CARP,,0.0,1760000.0,1760000.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,MOTOR,MOTORES,0.0,1560000.0,1560000.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,DIVISORIA,,0.0,755100.0,755100.0,,SIN PRESUPUESTO
ALGESA - FRANCO - 18/04/2024,PREV,,0.0,750000.0,750000.0,,SIN PRESUPUESTO
ALGESA - ITAIPU PORA ARREGLO - 01/01/2026,TECHO,,0.0,1500000.0,1500000.0,,SIN PRESUPUESTO
ALGESA - ITAIPU PORA ARREGLO - 01/01/2026,PLOM,,0.0,400000.0,400000.0,,SIN PRESUPUESTO
ALGESA - MANTENIMIENTO Y REFUERZO DE PISO - D26 - 14/01/2025,PISO,PISO,0.0,43710125.0,43710125.0,,SIN PRESUPUESTO
ALGESA - MANTENIMIENTO Y REFUERZO DE PISO - D26 - 14/01/2025,ALB,ALBAÑILERIA,5700000.0,4230000.0,-1470000.0,-25.79,DENTRO DE PRESUPUESTO
ALGESA - MANTENIMIENTO Y REFUERZO DE PISO - D26 - 14/01/2025,GG,GASTOS GENERALES,0.0,3152000.0,3152000.0,,SIN PRESUPUESTO
ALGESA - MUESTRA DE PINTURA - ASTURIAS - 29/01/2025,PIN,PINTURA,0.0,1236486.0,1236486.0,,SIN PRESUPUESTO
ALGESA - MURALLA DEP 3Y4 - 17/12/2024,ALB,ALBAÑILERIA,0.0,63039300.0,63039300.0,,SIN PRESUPUESTO
ALGESA - MURALLA DEP 3Y4 - 17/12/2024,PIN,PINTURA,0.0,33781436.0,33781436.0,,SIN PRESUPUESTO
ALGESA - MURALLA DEP 3Y4 - 17/12/2024,GG,GASTOS GENERALES,0.0,153000.0,153000.0,,SIN PRESUPUESTO
ALGESA - MURALLA PERIMETRAL ALGESA - 18/06/2025,ALB,ALBAÑILERIA,0.0,134401120.0,134401120.0,,SIN PRESUPUESTO
ALGESA - MURALLA PERIMETRAL ALGESA - 18/06/2025,GG,GASTOS GENERALES,0.0,5485134.0,5485134.0,,SIN PRESUPUESTO
ALGESA - MURALLA PERIMETRAL ALGESA - 18/06/2025,HERR,HERRERIA,8300000.0,515000.0,-7785000.0,-93.8,DENTRO DE PRESUPUESTO
ALGESA - PORTON - D26 - 06/04/2025,HERR,HERRERIA,0.0,15116058.0,15116058.0,,SIN PRESUPUESTO
ALGESA - PORTON - D26 - 06/04/2025,GG,GASTOS GENERALES,7950000.0,1937020.0,-6012980.0,-75.63,DENTRO DE PRESUPUESTO
ALGESA - PORTON - D26 - 06/04/2025,ALB,,0.0,500000.0,500000.0,,SIN PRESUPUESTO
ALGESA - PORTON - D26 - 06/04/2025,PIN,PINTURA,0.0,448500.0,448500.0,,SIN PRESUPUESTO
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,RIPADO,,0.0,4995122.0,4995122.0,,SIN PRESUPUESTO
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,PLOM,PLOMERIA,9400000.0,2782700.0,-6617300.0,-70.4,DENTRO DE PRESUPUESTO
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,ELEC,ELECTRICIDAD,0.0,2259500.0,2259500.0,,SIN PRESUPUESTO
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,LOZA SANITARIA,LOZA,0.0,2015000.0,2015000.0,,SIN PRESUPUESTO
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,ALB,ALBAÑILERIA,0.0,1390000.0,1390000.0,,SIN PRESUPUESTO
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,EXC,,0.0,220000.0,220000.0,,SIN PRESUPUESTO
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,CIELO RASO,,0.0,150000.0,150000.0,,SIN PRESUPUESTO
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,PIN,PINTURA,0.0,58500.0,58500.0,,SIN PRESUPUESTO
ALGESA - REPARACION DE MURO/MOLDURA EXTERIOR - D26 - 30/04/2025,ALB,ALBAÑILERIA,0.0,38000.0,38000.0,,SIN PRESUPUESTO
ALGESA - REPINTADO D26 - 03/09/2025,PIN,PINTURA,0.0,149500.0,149500.0,,SIN PRESUPUESTO
ALGESA - RESTAURACION DE PARAPETO - D5 - 08/02/2025,ALB,,0.0,300000.0,300000.0,,SIN PRESUPUESTO
ALGESA - VICERAS - D11 - 06/06/2025,TECHO,TECHO,0.0,13579257.0,13579257.0,,SIN PRESUPUESTO
ALGESA - VICERAS - D11 - 06/06/2025,GG,GASTOS GENERALES,0.0,299000.0,299000.0,,SIN PRESUPUESTO
ALGESA - VICERAS - D26 - 21/05/2025,TECHO,TECHO,0.0,15330469.0,15330469.0,,SIN PRESUPUESTO
ALGESA - VICERAS - D26 - 21/05/2025,PIN,PINTURA,0.0,675120.0,675120.0,,SIN PRESUPUESTO
ALGESA - VICERAS - D6 - 02/12/2024,TECHO,TECHO,3350000.0,18064644.0,14714644.0,439.24,DESVIO SIGNIFICATIVO (>10%)
ALGESA - VICERAS - D6 - 02/12/2024,GG,GASTOS GENERALES,0.0,403000.0,403000.0,,SIN PRESUPUESTO
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,ALB,ALBAÑILERIA,0.0,10218500.0,10218500.0,,SIN PRESUPUESTO
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,PLOM,PLOMERIA,0.0,3671960.0,3671960.0,,SIN PRESUPUESTO
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,ELEC,ELECTRICIDAD,0.0,3429500.0,3429500.0,,SIN PRESUPUESTO
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,ARTEFACTO,,0.0,2636000.0,2636000.0,,SIN PRESUPUESTO
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,PISO,PISO,0.0,1532300.0,1532300.0,,SIN PRESUPUESTO
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,TECHO,TECHO,9650000.0,1008000.0,-8642000.0,-89.55,DENTRO DE PRESUPUESTO
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,EXC,,0.0,800000.0,800000.0,,SIN PRESUPUESTO
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,GRANITO,,0.0,720000.0,720000.0,,SIN PRESUPUESTO
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,VIDRIO,,0.0,490000.0,490000.0,,SIN PRESUPUESTO
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,PIN,PINTURA,0.0,390400.0,390400.0,,SIN PRESUPUESTO
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,GG,GASTOS GENERALES,0.0,299500.0,299500.0,,SIN PRESUPUESTO
APAMAP - APAMAP DEPOSITO - 30/08/2024,ALB,ALBAÑILERIA,0.0,18597000.0,18597000.0,,SIN PRESUPUESTO
APAMAP - APAMAP DEPOSITO - 30/08/2024,TECHO,TECHO,0.0,5297185.0,5297185.0,,SIN PRESUPUESTO
APAMAP - APAMAP DEPOSITO - 30/08/2024,HERR,,0.0,4550000.0,4550000.0,,SIN PRESUPUESTO
APAMAP - APAMAP DEPOSITO - 30/08/2024,PIN,PINTURA,0.0,4148556.0,4148556.0,,SIN PRESUPUESTO
APAMAP - APAMAP DEPOSITO - 30/08/2024,VIDRIO,,0.0,1789000.0,1789000.0,,SIN PRESUPUESTO
APAMAP - APAMAP DEPOSITO - 30/08/2024,PISO,PISO,0.0,1725235.0,1725235.0,,SIN PRESUPUESTO
APAMAP - APAMAP DEPOSITO - 30/08/2024,ELEC,ELECTRICIDAD,0.0,1594500.0,1594500.0,,SIN PRESUPUESTO
APAMAP - APAMAP DEPOSITO - 30/08/2024,GG,GASTOS GENERALES,5700000.0,335500.0,-5364500.0,-94.11,DENTRO DE PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,ALB,ALBAÑILERIA,0.0,32511600.0,32511600.0,,SIN PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,DIVISORIA,,0.0,19776000.0,19776000.0,,SIN PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,ELEC,ELECTRICIDAD,3400000.0,11914875.0,8514875.0,250.44,DESVIO SIGNIFICATIVO (>10%)
APAMAP - APAMAP REMODELACION - 25/04/2025,LOZA SANITARIA,LOZA,0.0,7568990.0,7568990.0,,SIN PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,PISO,PISO,0.0,7027348.0,7027348.0,,SIN PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,PIN,PINTURA,0.0,6970737.0,6970737.0,,SIN PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,PUERTA,,0.0,6400000.0,6400000.0,,SIN PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,CIELO RASO,,0.0,4030000.0,4030000.0,,SIN PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,PLOM,PLOMERIA,0.0,3214523.0,3214523.0,,SIN PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,GG,GASTOS GENERALES,4150000.0,2403262.0,-1746738.0,-42.09,DENTRO DE PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,VENTANA,,0.0,2000000.0,2000000.0,,SIN PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,HERR,HERRERIA,2450000.0,901934.0,-1548066.0,-63.19,DENTRO DE PRESUPUESTO
APAMAP - APAMAP REMODELACION - 25/04/2025,GRANITO,,0.0,720000.0,720000.0,,SIN PRESUPUESTO
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,PIN,PINTURA,0.0,13295352.0,13295352.0,,SIN PRESUPUESTO
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,ELEC,ELECTRICIDAD,0.0,12239000.0,12239000.0,,SIN PRESUPUESTO
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,GG,GASTOS GENERALES,0.0,10391471.0,10391471.0,,SIN PRESUPUESTO
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,PISO,PISO,0.0,6810100.0,6810100.0,,SIN PRESUPUESTO
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,MARM,,0.0,3600000.0,3600000.0,,SIN PRESUPUESTO
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,HERR,,0.0,2650000.0,2650000.0,,SIN PRESUPUESTO
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,ALB,ALBAÑILERIA,0.0,2617000.0,2617000.0,,SIN PRESUPUESTO
