obra_nro,obra_id,nombre_obra,estado_obra,categoria_obra,monto_contrato,fecha_inicio,fecha_fin_estimada,fecha_fin_real,ubicacion_ciudad,ubicacion_zona,ubicacion_direccion,total_materiales,total_mano_obra,total_gastos,total_ingresos,resultado_neto,qty_compras,qty_pagos,qty_sectores,qty_trabajadores,qty_proveedores,pct_contrato_ejecutado
42,ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,D19 | D20 MURALLA DIVISORIA,ACTIVO,OBRA,,2025-12-17,,,CIUDAD DEL ESTE,KM12,,161976928.0,275410000.0,437386928.0,38300000.0,-399086928.0,142,62,1,12,34,
8,APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,APAMAP BAÑO Y TECHO,FINALIZADO,OBRA,,2024-04-29,,2024-07-13,CIUDAD DEL ESTE,AREA 8,,10752160.0,14444000.0,25196160.0,25338797.0,142637.0,94,17,1,7,7,
56,AUTOTECNIA - AREGLO CAÑERIA - 21/02/2026,AREGLO CAÑERIA,ACTIVO,SERVICIO,,2026-02-21,,,,,,380000.0,1870000.0,2250000.0,0.0,-2250000.0,1,5,1,2,1,
18,ALGESA - FOSA - MONTACARGA - 07/04/2025,FOSA - MONTACARGA,FINALIZADO,OBRA,,2025-04-07,,2025-08-30,CIUDAD DEL ESTE,KM12,,28740559.0,18085000.0,46825559.0,0.0,-46825559.0,52,12,1,4,14,
31,AUTOTECNIA - ARREGLO DE CANILLA Y CAÑO - AUTOTECNIA - 05/04/2025,ARREGLO DE CANILLA Y CAÑO - AUTOTECNIA,FINALIZADO,SERVICIO,,2025-04-05,,2025-05-02,CIUDAD DEL ESTE,KM12,,2870000.0,950000.0,3820000.0,0.0,-3820000.0,3,2,1,1,2,
20,ALGESA - VICERAS - D26 - 21/05/2025,VICERAS - D26,FINALIZADO,OBRA,,2025-05-21,,2025-06-26,CIUDAD DEL ESTE,KM12,,10405589.0,5600000.0,16005589.0,77500000.0,61494411.0,20,1,1,1,4,
13,SAIFILDIN - DUPLEX AREA 1 - 05/12/2024,DUPLEX AREA 1,ACTIVO,OBRA,,2024-12-05,,,CIUDAD DEL ESTE,AREA 1,,53519543.0,62665900.0,116185443.0,13050000.0,-103135443.0,141,36,1,14,23,
9,SILVIO DIAZ - CASA SILVIO DIAZ - 08/05/2024,CASA SILVIO DIAZ,FINALIZADO,OBRA,,2024-05-08,,2024-09-13,CIUDAD DEL ESTE,AREA 1,,68528766.0,73818700.0,142347466.0,142347466.0,0.0,100,52,1,10,15,
15,ALGESA - MURALLA DEP 3Y4 - 17/12/2024,MURALLA DEP 3Y4,FINALIZADO,OBRA,,2024-12-17,,2025-11-01,CIUDAD DEL ESTE,KM12,,33789587.0,63184149.0,96973736.0,67050000.0,-29923736.0,54,26,1,2,7,
26,ALGESA - D7 - CAMBIO DE TECHO - 19/10/2025,D7 - CAMBIO DE TECHO,FINALIZADO,OBRA,,2025-10-19,,,,,,202201500.0,240457500.0,442659000.0,0.0,-442659000.0,254,53,2,16,29,
24,ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,REMODELACION DE BAÑO - AUDITORIA,FINALIZADO,OBRA,,2025-07-15,,2025-08-12,CIUDAD DEL ESTE,KM12,,8480822.0,5390000.0,13870822.0,31300000.0,17429178.0,19,9,1,5,10,
