proveedor_id,qty_compras,qty_obras,total_comprado,promedio_compra,primera_compra,ultima_compra,pct_del_total,pct_acumulado,clasificacion_pareto,ranking
PROVEEDOR 342,1,1,60000.0,60000.0,2026-02-13,2026-02-13,0.0,99.98,C (5%),308
PROVEEDOR 85,1,1,60000.0,60000.0,2025-05-06,2025-05-06,0.0,99.98,C (5%),308
PROVEEDOR 186,1,1,57000.0,57000.0,2025-06-06,2025-06-06,0.0,99.98,C (5%),312
PROVEEDOR 250,1,1,52000.0,52000.0,2025-02-24,2025-02-24,0.0,99.98,C (5%),313
ABERTURAS MODERNAS,1,1,50000.0,50000.0,2025-05-06,2025-05-06,0.0,99.99,C (5%),314
PROVEEDOR 111,1,1,50000.0,50000.0,2025-04-10,2025-04-10,0.0,99.99,C (5%),314
PROVEEDOR 238,1,1,50000.0,50000.0,2025-11-26,2025-11-26,0.0,99.99,C (5%),314
PROVEEDOR 100,1,1,50000.0,50000.0,2024-12-16,2024-12-16,0.0,99.99,C (5%),314
PROVEEDOR 136,1,1,50000.0,50000.0,2025-02-21,2025-02-21,0.0,99.99,C (5%),314
PROVEEDOR 84,1,1,50000.0,50000.0,2025-02-07,2025-02-07,0.0,99.99,C (5%),314
HORMIGON RAPID,1,1,50000.0,50000.0,2025-06-23,2025-06-23,0.0,99.99,C (5%),314
DISTRIBUIDORA CENTRAL,1,1,50000.0,50000.0,2025-02-04,2025-02-04,0.0,99.99,C (5%),314
PROVEEDOR 48,2,1,50000.0,25000.0,2025-07-08,2026-02-16,0.0,99.99,C (5%),314
PROVEEDOR 150,1,1,50000.0,50000.0,2024-12-21,2024-12-21,0.0,99.99,C (5%),314
PROVEEDOR 143,1,1,50000.0,50000.0,2025-11-13,2025-11-13,0.0,99.99,C (5%),314
PROVEEDOR 97,1,1,50000.0,50000.0,2025-09-11,2025-09-11,0.0,99.99,C (5%),314
PROVEEDOR 39,1,1,50000.0,50000.0,2025-02-08,2025-02-08,0.0,99.99,C (5%),314
PROVEEDOR 76,1,1,46000.0,46000.0,2024-05-08,2024-05-08,0.0,99.99,C (5%),327
PROVEEDOR 49,1,1,45000.0,45000.0,2025-09-22,2025-09-22,0.0,99.99,C (5%),328
PROVEEDOR 159,1,1,42500.0,42500.0,2024-09-08,2024-09-08,0.0,99.99,C (5%),329
PROVEEDOR 237,1,1,41000.0,41000.0,2025-06-12,2025-06-12,0.0,99.99,C (5%),330
PROVEEDOR 286,1,1,40000.0,40000.0,2025-04-01,2025-04-01,0.0,100.0,C (5%),331
PROVEEDOR 125,1,1,40000.0,40000.0,2025-12-11,2025-12-11,0.0,100.0,C (5%),331
FERRETERIA SOL,1,1,40000.0,40000.0,2025-04-23,2025-04-23,0.0,100.0,C (5%),331
CORRALON EL PROGRESO,1,1,40000.0,40000.0,2024-10-08,2024-10-08,0.0,100.0,C (5%),331
PROVEEDOR 339,1,1,39500.0,39500.0,2026-02-01,2026-02-01,0.0,100.0,C (5%),335
PROVEEDOR 38,1,1,37800.0,37800.0,2024-11-27,2024-11-27,0.0,100.0,C (5%),336
PROVEEDOR 110,1,1,36000.0,36000.0,2025-09-03,2025-09-03,0.0,100.0,C (5%),337
PROVEEDOR 297,1,1,35000.0,35000.0,2025-05-21,2025-05-21,0.0,100.0,C (5%),338
PROVEEDOR 262,1,1,30000.0,30000.0,2025-04-09,2025-04-09,0.0,100.0,C (5%),339
HIERROS Y PERFILES SRL,1,1,26000.0,26000.0,2025-05-13,2025-05-13,0.0,100.0,C (5%),340
PROVEEDOR 92,1,1,24000.0,24000.0,2025-05-09,2025-05-09,0.0,100.0,C (5%),341
PROVEEDOR 300,1,1,23000.0,23000.0,2024-10-14,2024-10-14,0.0,100.0,C (5%),342
PROVEEDOR 108,1,1,20000.0,20000.0,2024-09-05,2024-09-05,0.0,100.0,C (5%),343
DEPOSITO MATERIALES OK,1,1,20000.0,20000.0,2025-12-10,2025-12-10,0.0,100.0,C (5%),343
PROVEEDOR 116,1,1,20000.0,20000.0,2025-07-09,2025-07-09,0.0,100.0,C (5%),343
,2,0,,,,,,100.0,C (5%),346
