proveedor_id,qty_compras,qty_obras,total_comprado,promedio_compra,primera_compra,ultima_compra,pct_del_total,pct_acumulado,clasificacion_pareto,ranking
PROVEEDOR 144,8,4,800036.0,100004.5,2024-08-23,2026-02-17,0.01,99.4,C (5%),160
PROVEEDOR 320,1,1,800000.0,800000.0,2024-09-28,2024-09-28,0.01,99.41,C (5%),161
PROVEEDOR 200,2,1,782000.0,391000.0,2025-07-08,2025-07-08,0.01,99.42,C (5%),162
PROVEEDOR 188,6,3,773000.0,128833.33333333333,2024-11-27,2026-02-14,0.01,99.43,C (5%),163
PROVEEDOR 313,2,2,768800.0,384400.0,2025-04-30,2025-12-04,0.01,99.44,C (5%),164
PROVEEDOR 212,2,1,760000.0,380000.0,2025-06-30,2025-07-07,0.01,99.45,C (5%),165
PROVEEDOR 187,1,1,700000.0,700000.0,2025-03-27,2025-03-27,0.01,99.47,C (5%),166
PROVEEDOR 214,1,1,700000.0,700000.0,2025-01-25,2025-01-25,0.01,99.47,C (5%),166
PROVEEDOR 80,8,4,686000.0,85750.0,2024-07-13,2025-05-13,0.01,99.48,C (5%),168
PROVEEDOR 175,1,1,664000.0,664000.0,2025-02-14,2025-02-14,0.01,99.49,C (5%),169
PROVEEDOR 151,1,1,660000.0,660000.0,2025-03-31,2025-03-31,0.01,99.5,C (5%),170
PROVEEDOR 266,2,1,640000.0,320000.0,2024-08-23,2024-11-11,0.01,99.51,C (5%),171
PROVEEDOR 77,7,2,630000.0,90000.0,2024-08-31,2025-10-25,0.01,99.53,C (5%),172
PROVEEDOR 285,1,1,630000.0,630000.0,2024-05-16,2024-05-16,0.01,99.53,C (5%),172
PROVEEDOR 205,2,2,625000.0,312500.0,2025-10-28,2026-01-26,0.01,99.54,C (5%),174
PROVEEDOR 271,1,1,610000.0,610000.0,2025-12-03,2025-12-03,0.01,99.54,C (5%),175
PROVEEDOR 145,6,4,600070.0,100011.66666666667,2024-09-04,2025-12-25,0.01,99.55,C (5%),176
PINTURAS DEL LITORAL,3,2,598615.0,199538.33333333334,2025-02-06,2025-05-16,0.01,99.56,C (5%),177
PROVEEDOR 118,3,2,551000.0,183666.66666666666,2025-10-29,2026-01-09,0.01,99.57,C (5%),178
PROVEEDOR 179,6,4,536000.0,89333.33333333333,2025-09-15,2026-02-17,0.01,99.58,C (5%),179
PROVEEDOR 69,1,1,522400.0,522400.0,2024-09-18,2024-09-18,0.01,99.58,C (5%),180
PROVEEDOR 265,1,1,500000.0,500000.0,2025-05-12,2025-05-12,0.01,99.59,C (5%),181
PROVEEDOR 289,1,1,450000.0,450000.0,2024-06-11,2024-06-11,0.01,99.6,C (5%),182
PROVEEDOR 73,3,1,450000.0,150000.0,2025-01-28,2025-02-21,0.01,99.6,C (5%),182
PROVEEDOR 338,1,1,436244.0,436244.0,2026-02-06,2026-02-06,0.01,99.61,C (5%),184
PROVEEDOR 131,3,3,431200.0,143733.33333333334,2025-09-14,2025-10-04,0.01,99.62,C (5%),185
PROVEEDOR 333,2,2,430000.0,215000.0,2025-12-24,2026-03-02,0.01,99.62,C (5%),186
PROVEEDOR 264,2,2,426000.0,213000.0,2025-01-15,2025-09-02,0.01,99.63,C (5%),187
PROVEEDOR 274,2,2,425000.0,212500.0,2025-02-06,2025-05-06,0.01,99.63,C (5%),188
PROVEEDOR 227,2,1,422829.0,211414.5,2025-01-07,2025-07-12,0.01,99.64,C (5%),189
PROVEEDOR 191,1,1,420000.0,420000.0,2025-09-19,2025-09-19,0.01,99.65,C (5%),190
MATERIALES PREMIUM,4,1,420000.0,105000.0,2024-05-07,2024-08-31,0.01,99.65,C (5%),190
PROVEEDOR 165,2,1,416134.0,208067.0,2024-08-10,2024-08-10,0.01,99.66,C (5%),192
PROVEEDOR 268,4,3,410328.0,102582.0,2024-09-22,2025-12-24,0.01,99.66,C (5%),193
PROVEEDOR 340,2,2,400000.0,200000.0,2026-01-25,2026-01-29,0.01,99.68,C (5%),194
PROVEEDOR 184,1,1,400000.0,400000.0,2025-01-17,2025-01-17,0.01,99.68,C (5%),194
PROVEEDOR 140,1,1,400000.0,400000.0,2024-05-10,2024-05-10,0.01,99.68,C (5%),194
PROVEEDOR 232,1,1,387000.0,387000.0,2024-11-09,2024-11-09,0.01,99.69,C (5%),197
PROVEEDOR 243,3,2,385060.0,128353.33333333333,2025-03-01,2025-04-06,0.01,99.69,C (5%),198
PROVEEDOR 314,2,1,370000.0,185000.0,2025-05-02,2025-05-08,0.01,99.7,C (5%),199
PROVEEDOR 34,4,2,365000.0,91250.0,2025-05-27,2025-06-20,0.01,99.7,C (5%),200
PROVEEDOR 256,3,1,355000.0,118333.33333333333,2025-09-15,2026-02-02,0.01,99.71,C (5%),201
PROVEEDOR 322,6,1,352000.0,58666.666666666664,2024-10-31,2025-04-28,0.0,99.71,C (5%),202
PROVEEDOR 37,1,1,350000.0,350000.0,2024-10-05,2024-10-05,0.0,99.72,C (5%),203
PROVEEDOR 183,3,2,340000.0,113333.33333333333,2024-11-02,2025-05-17,0.0,99.73,C (5%),204
PROVEEDOR 81,4,1,340000.0,85000.0,2024-12-11,2025-12-17,0.0,99.73,C (5%),204
PROVEEDOR 120,6,3,333999.0,55666.5,2024-09-17,2025-12-23,0.0,99.73,C (5%),206
SANITARIOS EXPRESS,5,2,333000.0,66600.0,2025-04-05,2026-02-13,0.0,99.74,C (5%),207
PROVEEDOR 134,2,1,320000.0,160000.0,2024-08-30,2024-09-03,0.0,99.75,C (5%),208
PROVEEDOR 56,5,3,320000.0,64000.0,2025-01-13,2025-12-16,0.0,99.75,C (5%),208
PROVEEDOR 115,3,2,319500.0,106500.0,2024-12-02,2025-12-11,0.0,99.75,C (5%),210
PROVEEDOR 153,2,1,315000.0,157500.0,2025-02-06,2025-02-11,0.0,99.75,C (5%),211
PROVEEDOR 138,2,2,310000.0,155000.0,2025-09-11,2026-01-22,0.0,99.76,C (5%),212
PROVEEDOR 209,1,1,309875.0,309875.0,2024-10-11,2024-10-11,0.0,99.76,C (5%),213
PROVEEDOR 309,2,1,302600.0,151300.0,2024-07-09,2024-08-02,0.0,99.77,C (5%),214
PROVEEDOR 277,1,1,300000.0,300000.0,2025-02-06,2025-02-06,0.0,99.78,C (5%),215
PROVEEDOR 240,3,1,300000.0,100000.0,2025-06-23,2025-09-24,0.0,99.78,C (5%),215
PROVEEDOR 242,1,1,300000.0,300000.0,2025-03-27,2025-03-27,0.0,99.78,C (5%),215
PROVEEDOR 82,1,1,300000.0,300000.0,2024-09-18,2024-09-18,0.0,99.78,C (5%),215
PROVEEDOR 83,4,1,298000.0,74500.0,2024-12-27,2026-01-13,0.0,99.79,C (5%),219
PROVEEDOR 192,2,2,289200.0,144600.0,2024-10-17,2025-08-13,0.0,99.79,C (5%),220
PROVEEDOR 249,2,1,283000.0,141500.0,2025-08-12,2026-01-09,0.0,99.8,C (5%),221
PROVEEDOR 181,2,1,280000.0,140000.0,2025-09-10,2025-09-19,0.0,99.8,C (5%),222
